Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding
3,0.001,0.5,200,5,0.1,-0.30866,4.17143,0.04424, Dev/Test,sgns
4,0.001,0.5,200,5,0.1,-0.43161,4.4109,0.07214, Train,sgns
4,0.001,0.5,200,5,0.1,-0.3094,3.8252,0.04533, Dev/Test,sgns
5,0.001,0.5,200,5,0.1,-0.45834,4.05898,0.0798, Train,sgns
5,0.001,0.5,200,5,0.1,-0.30622,3.47396,0.04345, Dev/Test,sgns
1,0.001,0.01,100,1,0.025,-0.806,0.59489,0.52419, Train,char
1,0.001,0.01,100,1,0.025,-0.79479,0.89271,0.50494, Dev/Test,char
2,0.001,0.01,100,1,0.025,-0.83071,0.89364,0.55664, Train,char
2,0.001,0.01,100,1,0.025,-0.78611,0.85777,0.49333, Dev/Test,char
3,0.001,0.01,100,1,0.025,-0.84842,0.8036,0.59202, Train,char
3,0.001,0.01,100,1,0.025,-0.76406,0.6913,0.4778, Dev/Test,char
4,0.001,0.01,100,1,0.025,-0.86061,0.6562,0.61374, Train,char
4,0.001,0.01,100,1,0.025,-0.73985,0.57714,0.45506, Dev/Test,char
5,0.001,0.01,100,1,0.025,-0.86885,0.54384,0.62862, Train,char
5,0.001,0.01,100,1,0.025,-0.72428,0.51881,0.44282, Dev/Test,char
1,0.001,0.2,500,10,0.005,-0.7937,23.00007,0.52353, Train,char
1,0.001,0.2,500,10,0.005,-0.79398,42.07926,0.50306, Dev/Test,char
2,0.001,0.2,500,10,0.005,-0.79594,61.99649,0.52396, Train,char
2,0.001,0.2,500,10,0.005,-0.79716,77.05692,0.50353, Dev/Test,char
3,0.001,0.2,500,10,0.005,-0.79793,58.59261,0.52408, Train,char
3,0.001,0.2,500,10,0.005,-0.80202,53.97562,0.50337, Dev/Test,char
4,0.001,0.2,500,10,0.005,-0.81162,47.04678,0.52421, Train,char
4,0.001,0.2,500,10,0.005,-0.79888,38.87959,0.50353, Dev/Test,char
5,0.001,0.2,500,10,0.005,-0.8308,39.31657,0.5493, Train,char
5,0.001,0.2,500,10,0.005,-0.78454,33.20252,0.49616, Dev/Test,char
1,0.005,0.01,50,5,0.025,-0.79826,2.25438,0.52385, Train,char
1,0.005,0.01,50,5,0.025,-0.80001,3.96016,0.50384, Dev/Test,char
2,0.005,0.01,50,5,0.025,-0.81706,5.8434,0.53002, Train,char
2,0.005,0.01,50,5,0.025,-0.79481,7.4841,0.50212, Dev/Test,char
3,0.005,0.01,50,5,0.025,-0.83177,8.52136,0.55673, Train,char
3,0.005,0.01,50,5,0.025,-0.79137,10.0112,0.49788, Dev/Test,char
4,0.005,0.01,50,5,0.025,-0.8413,10.96476,0.58211, Train,char
4,0.005,0.01,50,5,0.025,-0.7881,10.89945,0.4869, Dev/Test,char
5,0.005,0.01,50,5,0.025,-0.84816,12.5471,0.59732, Train,char
5,0.005,0.01,50,5,0.025,-0.78246,11.33066,0.488, Dev/Test,char
1,0.002,0.2,10,5,0.025,-0.79987,0.33342,0.52213, Train,char
1,0.002,0.2,10,5,0.025,-0.799,0.29868,0.50353, Dev/Test,char
2,0.002,0.2,10,5,0.025,-0.82429,0.25758,0.54063, Train,char
2,0.002,0.2,10,5,0.025,-0.78939,0.2456,0.49616, Dev/Test,char
3,0.002,0.2,10,5,0.025,-0.84114,0.21006,0.58255, Train,char
3,0.002,0.2,10,5,0.025,-0.78628,0.22956,0.49459, Dev/Test,char
4,0.002,0.2,10,5,0.025,-0.85028,0.19092,0.60312, Train,char
4,0.002,0.2,10,5,0.025,-0.78023,0.21842,0.48298, Dev/Test,char
5,0.002,0.2,10,5,0.025,-0.85622,0.18298,0.61809, Train,char
