Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding,Group
1,0.002,0.1,20,5,0.005,-0.30701,0.97459,0.04141, Dev/Test,sgns,G202
2,0.002,0.1,20,5,0.005,-0.3858,0.90162,0.05996, Train,sgns,G203
2,0.002,0.1,20,5,0.005,-0.30384,0.99874,0.04361, Dev/Test,sgns,G204
3,0.002,0.1,20,5,0.005,-0.43401,0.89558,0.06927, Train,sgns,G205
3,0.002,0.1,20,5,0.005,-0.29717,1.02168,0.04439, Dev/Test,sgns,G206
4,0.002,0.1,20,5,0.005,-0.46253,0.9,0.07673, Train,sgns,G207
4,0.002,0.1,20,5,0.005,-0.29358,1.02913,0.04659, Dev/Test,sgns,G208
5,0.002,0.1,20,5,0.005,-0.48204,0.89797,0.08225, Train,sgns,G209
5,0.002,0.1,20,5,0.005,-0.28999,1.03193,0.04659, Dev/Test,sgns,G210
1,0.002,0.1,20,10,0.005,-0.2798,0.93033,0.0427, Train,sgns,G211
1,0.002,0.1,20,10,0.005,-0.29911,0.97081,0.04094, Dev/Test,sgns,G212
2,0.002,0.1,20,10,0.005,-0.37609,0.89159,0.05985, Train,sgns,G213
2,0.002,0.1,20,10,0.005,-0.30242,0.97062,0.04627, Dev/Test,sgns,G214
3,0.002,0.1,20,10,0.005,-0.42989,0.86697,0.07168, Train,sgns,G215
3,0.002,0.1,20,10,0.005,-0.29901,0.97941,0.04251, Dev/Test,sgns,G216
4,0.002,0.1,20,10,0.005,-0.46165,0.85026,0.07982, Train,sgns,G217
4,0.002,0.1,20,10,0.005,-0.29036,0.99615,0.04063, Dev/Test,sgns,G218
5,0.002,0.1,20,10,0.005,-0.48281,0.83935,0.08562, Train,sgns,G219
5,0.002,0.1,20,10,0.005,-0.28818,0.99208,0.04157, Dev/Test,sgns,G220
1,0.002,0.1,50,5,0.005,-0.29557,1.22276,0.04467, Train,sgns,G221
1,0.002,0.1,50,5,0.005,-0.29674,1.26655,0.04329, Dev/Test,sgns,G222
2,0.002,0.1,50,5,0.005,-0.40436,1.17967,0.06517, Train,sgns,G223
2,0.002,0.1,50,5,0.005,-0.29672,1.26033,0.05239, Dev/Test,sgns,G224
3,0.002,0.1,50,5,0.005,-0.46081,1.14893,0.07767, Train,sgns,G225
3,0.002,0.1,50,5,0.005,-0.29145,1.30738,0.05302, Dev/Test,sgns,G226
4,0.002,0.1,50,5,0.005,-0.49513,1.12709,0.0897, Train,sgns,G227
4,0.002,0.1,50,5,0.005,-0.28916,1.29005,0.04988, Dev/Test,sgns,G228
5,0.002,0.1,50,5,0.005,-0.51941,1.11006,0.09839, Train,sgns,G229
5,0.002,0.1,50,5,0.005,-0.28956,1.28704,0.05004, Dev/Test,sgns,G230
1,0.002,0.1,50,10,0.005,-0.27489,1.19082,0.04355, Train,sgns,G231
1,0.002,0.1,50,10,0.005,-0.30188,1.13405,0.04518, Dev/Test,sgns,G232
2,0.002,0.1,50,10,0.005,-0.39085,1.07719,0.06223, Train,sgns,G233
2,0.002,0.1,50,10,0.005,-0.30792,1.13328,0.0491, Dev/Test,sgns,G234
3,0.002,0.1,50,10,0.005,-0.4578,1.00136,0.07918, Train,sgns,G235
3,0.002,0.1,50,10,0.005,-0.30911,1.14698,0.05145, Dev/Test,sgns,G236
4,0.002,0.1,50,10,0.005,-0.49802,0.95529,0.09152, Train,sgns,G237
4,0.002,0.1,50,10,0.005,-0.30081,1.14592,0.04878, Dev/Test,sgns,G238
5,0.002,0.1,50,10,0.005,-0.52547,0.9306,0.10041, Train,sgns,G239
5,0.002,0.1,50,10,0.005,-0.29224,1.13105,0.04533, Dev/Test,sgns,G240
